,Details ,MuSo POC 
Event Name,Food & Beverage Investigator Program,
Event Date,4th July - FBI Workshop,
Event Time,11am to 1pm,
Event Location,"9th Floor MPA, Museum of Solutions",
Type of Event,"Tickted, Collboration (The Whole Truth)",
Is the event Ticketed (Cost) / Free (RSVP),1500 (+ GST) (1 child + 1 Adult),
Ticketing Platform,MuSo Website,
Event Set up Instructions for Internal Teams ,"MuSo team SET UP - Friday Evening 
TWT team set up - Saturday Morning onwards 
TWT team WRAP UP - Saturday 1pm
MuSo team WRAP UP - Saturday1pm",
Event Set up Instructions for EXternal Teams ,,
MuSo PoC,Rohann and Krutika,
Partner / Collaboration PoC,,
Ideal for ages to attend, 7-11 years,
Expected No Visitors (Adults and Children),15 tickets Approx (Parent and Child),
About the Event,"A hands-on 2 hour workshop where kids learn to catch food lies, just like real FBI agents catch crime. 4 levels of food label reading and 2 missions to apply what they’ve learned. By the end, they walk out as certified FBI agents. With the tools to question what they're eating. And outsmart the marketers who've been banking on them not to.",
Ops support Requied from HK,"Housekeeping Support-
Tables-8
Liso Stools-15
Red Cushions from 7th Floor-12
Black Screen-4
Easel Stands-2
Techincal Support-
Connection to the Tv Screens
Bluetooth Speaker-1
Mic-1
",Aashish
Ops support Requied from IT,,Naveen
Ops support Requied from Front Desk,,Aashish
Ops support Requied from Security ,,
Ops support Requied from Technical ,,Sameer
Other Notes,"T and C - 
The workshop is designed exclusively for children. 
Parents are welcome to accompany them; however, the workshop activities themselves will be child-only and will not require parent participation.","Aniket , Neelam, Aashish,"
List of set up team and List of returnable Material - External Team,,
,,
